layer, FSRAM required per lane (bytes), ISRAM required per lane (bytes),,,,,,,,,,,,,,,,,,,,,,,,
Conv1,363,22473,,,,,,,,,,,,,,,,,,,,,,,,
Conv2,2400,52800,,,,,,,,,,,,,,,,,,,,,,,,
Conv3,2304,20736,,,,,,,,,,,,,,,,,,,,,,,,
Conv4,3456,14976,,,,,,,,,,,,,,,,,,,,,,,,
Conv5,3456,14976,,,,,,,,,,,,,,,,,,,,,,,,
max,3456,52800,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
layer,round,phase,run cycles,filter stalls,IF stalls,MACops,ISRAM read (bytes),FSRAM read (bytes),ISRAM write (bytes),FSRAM write (bytes),DRAM read (bytes), DRAM write (bytes),h lanes, v lanes, isram read energy(pJ), fsram read energy (pJ), isram write energy(pJ), fsram write energy (pJ), dram read energy (pJ), dram write energy (pJ), mac op energy (pJ), energy (pJ), start cycle offset,ISRAM write preload (bytes), ISRAM write preload energy (pJ),
Conv1,0,0,715,1727,5197,8921088,92928,34848,122880,34848,127776,0,96,256,1411353.2928,175092.0336,889270.272,94994.95104,12777600.0,0.0,3568435.2,18916745.7494,0,92928,672510.6432,
Conv1,0,1,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,363,33792,244549.3248,
Conv1,0,2,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,726,33792,244549.3248,
Conv1,0,3,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,1089,33792,244549.3248,
Conv1,0,4,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,1452,33792,244549.3248,
Conv1,0,5,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,1815,33792,244549.3248,
Conv1,0,6,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,2178,33792,244549.3248,
Conv1,0,7,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,2541,33792,244549.3248,
Conv1,0,8,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,2904,33792,244549.3248,
Conv1,0,9,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,3267,33792,244549.3248,
Conv1,0,10,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,3630,33792,244549.3248,
Conv1,0,11,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,3993,33792,244549.3248,
Conv1,0,12,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,4356,33792,244549.3248,
Conv1,0,13,715,0,1501,8921088,92928,34848,122880,0,33792,0,96,256,1411353.2928,175092.0336,889270.272,0.0,3379200.0,0.0,3568435.2,9423350.7984,4719,33792,244549.3248,
